Resource,DS-OWNER,DS-CRM,DS-CONT,DS-OP,DS-SV,DS-CS,DS-CS-MGR,DS-3PL,DS-CRD,DS-GAC,troubleshooting,DS-VD,DS-SD
Magento_Indexer::index,,,,,,,,,,,1,1,
Magento_Backup::backup,,,,,,,,,,,1,1,
Magento_Backup::rollback,,,,,,,,,,,1,1,
Magento_Indexer::changeMode,,,,,,,,,,,1,1,
Magento_User::acl,,,,,,,,,,,,,1
Magento_User::acl_users,,,,,,,,,,,,,1
Magento_User::locks,,,,,,,,,,,,,1
Magento_User::acl_roles,,,,,,,,,,,,,1
Magento_Logging::magento_logging,,,,,,,,,,,1,1,
Magento_Logging::magento_logging_events,,,,,,,,,,,1,1,
Magento_Logging::backups,,,,,,,,,,,1,1,
Magento_Backend::system_other_settings,,,,,,,,,,,1,1,
Magento_AdminNotification::adminnotification,,,,,,,,,,,1,1,
Magento_AdminNotification::show_toolbar,,,,,,,,,,,1,1,
Magento_AdminNotification::show_list,,,,,,,,,,,1,1,
Magento_AdminNotification::mark_as_read,,,,,,,,,,,1,1,
Magento_AdminNotification::adminnotification_remove,,,,,,,,,,,1,1,
Magento_Variable::variable,,,,,,,,,,,1,1,
Magento_EncryptionKey::crypt_key,,,,,,,,,,,1,1,
Riki_ProductStoctStatus::stockstatus,,,,,,,,,,,1,1,
Magento_Backend::global_search,,,,,,,,,,,1,1,
Riki_Prize::prize,1,,,,,,,,,,1,,
Riki_MachineApi::call_machine_api,,,,,,,,,,,1,,
Riki_MachineApi::machine,1,,,1,1,,,,,,1,,
Riki_MachineApi::machine_customer,,,,1,1,,,,,,1,,
Riki_MachineApi::machine_customer_save,,,,1,1,,,,,,1,,
Riki_MachineApi::machine_customer_delete,,,,1,1,,,,,,1,,
Riki_MachineApi::machine_skus,1,,,,,,,,,,1,,
Riki_MachineApi::machine_skus_save,1,,,,,,,,,,1,,
Riki_MachineApi::machine_skus_delete,1,,,,,,,,,,1,,
Riki_MachineApi::machine_conditionRule,1,,,,,,,,,,1,,
Riki_MachineApi::machine_conditionRule_save,1,,,,,,,,,,1,,
Riki_MachineApi::machine_conditionRule_delete,1,,,,,,,,,,1,,
Riki_CatalogFreeShipping::catalog_free_shipping,1,,1,,,,,,,,1,,
Riki_CatalogFreeShipping::rule_save,1,,,,,,,,,,1,,
Riki_ThirdPartyImportExport::order_legacy,,,,1,1,,,,1,,,,
Riki_ThirdPartyImportExport::config_ThirdPartyImportExport,,,,,,,,,,,1,,
Amasty_Base::config,,,,,,,,,,,1,,
Riki_Subscription::add_spot_product,,,,1,1,,,,,,1,,
Riki_Sales::remove_suspicious,,,,,,,,,1,,,,
Riki_Subscription::edit_payment_method,,,,,,,,,,,,,
