Resource,DS-OWNER,DS-CRM,DS-CONT,DS-OP,DS-SV,DS-CS,DS-CS-MGR,DS-3PL,DS-CRD,DS-GAC,troubleshooting,DS-VD,DS-SD
Riki_RmaWithoutGoods::rma_wg_actions_create,,,,1,1,,,,,,1,,
Riki_RmaWithoutGoods::rma_wg_actions_view,,,,1,1,1,1,1,1,1,1,,
Riki_RmaWithoutGoods::rma_wg_actions_close,,,,1,,,,,,,1,,
Riki_RmaWithoutGoods::rma_wg_actions_edit,,,,,,,,,,,1,,
Riki_RmaWithoutGoods::rma_wg_actions_save,,,,1,1,,,,,,1,,
Riki_RmaWithoutGoods::rma_wg_actions_create_request,,,,,,,,,,,1,,
Riki_RmaWithoutGoods::rma_wg_actions_accept_request,,,,,,,,,,,1,,
Riki_RmaWithoutGoods::rma_wg_actions_deny_request,,,,,,,,,,,1,,
Riki_RmaWithoutGoods::rma_wg_actions_approve,,,,,1,1,1,,,,1,,
Riki_RmaWithoutGoods::rma_wg_actions_reject,,,,,1,1,1,,,,1,,
Magento_Sales::shipment_create,,,,,,,,,,1,1,,
Magento_Paypal::billing_agreement,,,,,,,,,,,1,,
Magento_Paypal::billing_agreement_actions,,,,,,,,,,,1,,
Magento_Paypal::billing_agreement_actions_view,,,,,,,,,,,1,,
Magento_Paypal::actions_manage,,,,,,,,,,,1,,
Magento_Paypal::use,,,,,,,,,,,1,,
Magento_Sales::shipment_edit,,,,,,,,,,1,1,,
Magento_Sales::transactions,,,,,,,,,,,1,,
Magento_Sales::transactions_fetch,,,,,,,,,,,1,,
Magento_Sales::shipment_cancel,,,,,,,,,,1,1,,
Magento_Sales::shipment_approve_freeship,,,,,,,,,,,1,,
Magento_Sales::shipment_export_incl,,,,,,,,,,,1,,
Riki_SerialCode::serial_code,1,1,,,,,,,,,1,,
Riki_SerialCode::serial_code_action_save,1,1,,,,,,,,,1,,
Riki_SerialCode::serial_code_action_delete,1,1,,,,,,,,,1,,
Riki_SerialCode::serial_code_import,1,1,,,,,,,,,1,,
Riki_SerialCode::serial_code_export,1,1,,,,,,,,,1,,
Magento_Sales::shipment_export_excl,,,,,,,,,,,1,,
Riki_Rma::reason,,,,,,1,1,,1,,1,,
Riki_Rma::reason_save,,,,,,1,1,,1,,1,,
Riki_Rma::reason_delete,,,,,,1,1,,1,,1,,
Magento_SalesArchive::archive,,,,,,,,,,,1,,
Magento_SalesArchive::orders,,,,,,,,,,,1,,
Magento_SalesArchive::add,,,,,,,,,,,1,,
Magento_SalesArchive::remove,,,,,,,,,,,1,,
Magento_SalesArchive::invoices,,,,,,,,,,,1,,
